001, Pound,                        1,    0,    4,    35,     40,    100,    1,    1,     1,     0,    00000000000000,  00000000000000,      0,    0,  0,    0,    0,    0,  00000000,  1,  0
002, Karate Chop,                  2,    0,    4,    25,     50,    100,    1,    1,     1,     0,    00000000000000,  00000000000000,      0,    0,  0,    0,    0,    0,  00000000,  1,  1
003, Double Slap,                  1,    0,    2,    10,     15,     85,    1,    1,     1,     0,    00000000000000,  00000000000000,      0,    0,  0,    0,    0,    0,  00000000,  1,  0
004, Comet Punch,                  1,    0,    4,    15,     18,     85,    1,    1,     1,     0,    00000000000000,  00000000000000,      0,    0,  0,    0,    0,    0,  00000010,  1,  0
005, Mega Punch,                   1,    0,    4,    20,     80,     85,    1,    1,     1,     0,    00000000000000,  00000000000000,      0,    0,  0,    0,    0,    0,  00000010,  1,  0
006, Pay Day,                      1,    0,    3,    20,     40,    100,    1,    0,     1,     0,    00000000000000,  00000000000000,      0,    0,  0,    0,    0,    0,  00000000,  0,  0
007, Fire Punch,                  10,    0,    4,    15,     75,    100,    1,    1,     1,     0,    00000000000000,  00000000000000,      0,    0,  1,   10,    0,    0,  00000010,  1,  0
008, Ice Punch,                   15,    0,    2,    15,     75,    100,    1,    1,     1,     0,    00000000000000,  00000000000000,      0,    0,  2,   10,    0,    0,  00000010,  1,  0
009, Thunder Punch,               13,    0,    0,    15,     75,    100,    1,    1,     1,     0,    00000000000000,  00000000000000,      0,    0,  3,   10,    0,    0,  00000010,  1,  0
010, Scratch,                      1,    0,    4,    35,     40,    100,    1,    1,     1,     0,    00000000000000,  00000000000000,      0,    0,  0,    0,    0,    0,  00000000,  1,  0
011, Vice Grip,                    1,    0,    4,    30,     55,    100,    1,    1,     1,     0,    00000000000000,  00000000000000,      0,    0,  0,    0,    0,    0,  00000000,  1,  0
012, Guillotine,                   1,    0,    0,     5,      0,      0,    1,    1,     1,     0,    00000000000000,  00000000000000,      0,    0,  0,    0,    0,    0,  00000000,  1,  0
013, Razor Wind,                   1,    1,    0,    10,     80,    100,    1,    0,     4,     0,    00000000000000,  00000000000000,      0,    0,  0,    0,    0,    0,  00000000,  0,  1
014, Swords Dance,                 1,    2,    2,    20,      0,      0,    1,    0,     9,     0,    00000001000000,  00000000000000,    100,    2,  0,    0,    0,    0,  00010000,  0,  0
015, Cut,                          1,    0,    0,    30,     50,     95,    1,    1,     1,     0,    00000000000000,  00000000000000,      0,    0,  0,    0,    0,    0,  00000000,  1,  0
016, Gust,                         3,    1,    3,    35,     40,    100,    1,    0,     2,     0,    00000000000000,  00000000000000,      0,    0,  0,    0,    0,    0,  00000000,  0,  0
017, Wing Attack,                  3,    0,    0,    35,     60,    100,    1,    1,     2,     0,    00000000000000,  00000000000000,      0,    0,  0,    0,    0,    0,  00000000,  1,  0
018, Whirlwind,                    1,    2,    3,    20,      0,      0,    1,    0,     1,    -6,    00000000000000,  00000000000000,      0,    0,  0,    0,    0,    0,  00000000,  0,  0
019, Fly,                          3,    0,    3,    15,     90,     95,    1,    1,     2,     0,    00000000000000,  00000000000000,      0,    0,  0,    0,    0,    0,  00000000,  1,  0
020, Bind,                         1,    0,    4,    20,     15,     85,    1,    1,     1,     0,    00000000000000,  00000000000000,      0,    0,  0,    0,    0,    0,  00000000,  1,  0
021, Slam,                         1,    0,    4,    20,     80,     75,    1,    1,     1,     0,    00000000000000,  00000000000000,      0,    0,  0,    0,    0,    0,  00000000,  1,  0
022, Vine Whip,                   12,    0,    0,    25,     45,    100,    1,    1,     1,     0,    00000000000000,  00000000000000,      0,    0,  0,    0,    0,    0,  00000000,  1,  0
023, Stomp,                        1,    0,    4,    20,     65,    100,    1,    1,     1,     0,    00000000000000,  00000000000000,      0,    0,  0,    0,   30,    0,  00000000,  1,  0
024, Double Kick,                  2,    0,    0,    30,     30,    100,    1,    1,     1,     0,    00000000000000,  00000000000000,      0,    0,  0,    0,    0,    0,  00000000,  1,  0
025, Mega Kick,                    1,    0,    0,     5,    120,     75,    1,    1,     1,     0,    00000000000000,  00000000000000,      0,    0,  0,    0,    0,    0,  00000000,  1,  0
026, Jump Kick,                    2,    0,    0,    10,    100,     95,    1,    1,     1,     0,    00000000000000,  00000000000000,      0,    0,  0,    0,    0,    0,  00000000,  1,  0
027, Rolling Kick,                 2,    0,    0,    15,     60,     85,    1,    1,     1,     0,    00000000000000,  00000000000000,      0,    0,  0,    0,   30,    0,  00000000,  1,  0
028, Sand Attack,                  5,    2,    2,    15,      0,    100,    1,    0,     1,     0,    00000000000000,  10000000000000,    100,    1,  0,    0,    0,    0,  00000000,  0,  0
029, Headbutt,                     1,    0,    4,    15,     70,    100,    1,    1,     1,     0,    00000000000000,  00000000000000,      0,    0,  0,    0,   30,    0,  00000000,  1,  0
030, Horn Attack,                  1,    0,    0,    25,     65,    100,    1,    1,     1,     0,    00000000000000,  00000000000000,      0,    0,  0,    0,    0,    0,  00000000,  1,  0
031, Fury Attack,                  1,    0,    0,    20,     15,     85,    1,    1,     1,     0,    00000000000000,  00000000000000,      0,    0,  0,    0,    0,    0,  00000000,  1,  0
032, Horn Drill,                   1,    0,    0,     5,      0,      0,    1,    1,     1,     0,    00000000000000,  00000000000000,      0,    0,  0,    0,    0,    0,  00000000,  1,  0
033, Tackle,                       1,    0,    4,    35,     40,    100,    1,    1,     1,     0,    00000000000000,  00000000000000,      0,    0,  0,    0,    0,    0,  00000000,  1,  0
034, Body Slam,                    1,    0,    4,    15,     85,    100,    1,    1,     1,     0,    00000000000000,  00000000000000,      0,    0,  3,   30,    0,    0,  00000000,  1,  0
035, Wrap,                         1,    0,    4,    20,     15,     90,    1,    1,     1,     0,    00000000000000,  00000000000000,      0,    0,  0,    0,    0,    0,  00000000,  1,  0
036, Take Down,                    1,    0,    4,    20,     90,     85,    1,    1,     1,     0,    00000000000000,  00000000000000,      0,    0,  0,    0,    0,    0,  00000000,  1,  0
037, Thrash,                       1,    0,    4,    10,    120,    100,    1,    1,     9,     0,    00000000000000,  00000000000000,      0,    0,  0,    0,    0,    0,  00000000,  1,  0
038, Double-Edge,                  1,    0,    4,    15,    120,    100,    1,    0,     1,     0,    00000000000000,  00000000000000,      0,    0,  0,    0,    0,    0,  00000000,  1,  0
039, Tail Whip,                    1,    2,    2,    30,      0,    100,    1,    0,     4,     0,    00000000000000,  01000000000000,    100,    1,  0,    0,    0,    0,  00000000,  0,  0
040, Poison Sting,                 4,    0,    3,    35,     15,    100,    1,    0,     1,     0,    00000000000000,  00000000000000,      0,    0,  4,   30,    0,    0,  00000000,  0,  0
